Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,21650000000.0,18000000000.0,17037037037.0,16280991736.0,14932024169.0,13972676841.0,14756846154.0,14128408566.0,15222012660.0,12138486532.0,12736856828.0,12354820144.0,14594249023.0,17827791321.0,23144351852.0,30207567317.0,36954312354.0,45277399814.0,60763483146.0,50874078052.0,57222490769.0,61757788945.0,65685102555.0,75527984234.0,78813839984.0,56454734397.0,47722657821.0,54726595249.0,60031262269.0,63080457023.0
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,412086445.5,444720750.0,518239100.0,559858250.0,580863700.0,620140400.0,641383800.0,654314350.0,688992450.0,732732350.0,832050000.0,868350000.0,925050000.0,983500000.0,1051350000.0,1102050000.0,1210150000.0,1271600000.0,1351350000.0,1317300000.0,1377200000.0,1460800000.0,1522900000.0,1579400000.0,1662800000.0,1723800000.0,1775100000.0,1836600000.0,1871200000.0,1879613600.0
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,1592400000.0,1634899968.0,1679900032.0,1820359936.0,1867160064.0,2030749952.0,2695390000.0,2932827000.0,3130748000.0,3324433000.0,3480219000.0,3680483000.0,3937228000.0,4186525000.0,4484703000.0,4868136000.0,5414299000.0,5895048000.0,6109928000.0,5806378000.0,5744414000.0,5550771000.0,5537537000.0,5573710000.0,,,,,,
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,4867582620.0,5343274312.0,5643893347.0,5734676561.0,5981244887.0,6715220507.0,7396966657.0,7925673448.0,8497545598.0,8285075872.0,8397912509.0,8141537938.0,7905485216.0,8082364868.0,8773451739.0,9549077869.0,11451869165.0,13120183157.0,16674324634.0,17339992165.0,19649631451.0,23963033588.0,27084497540.0,30659338784.0,32996188133.0,33000198263.0,33941126194.0,37508642113.0,40287647902.0,40895322865.0
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,461952000000.0,602860000000.0,400599000000.0,437799000000.0,558112000000.0,769305000000.0,850426000000.0,883200000000.0,863723000000.0,599389000000.0,655421000000.0,559372000000.0,507962000000.0,558320000000.0,669317000000.0,891630000000.0,1107640000000.0,1397080000000.0,1695820000000.0,1667020000000.0,2208870000000.0,2616200000000.0,2465190000000.0,2472810000000.0,2455990000000.0,1802210000000.0,1795700000000.0,2062830000000.0,1885480000000.0,1839760000000.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2012131457.0,2020583702.0,1957000000.0,2063342117.0,2151344901.0,2216974096.0,2363645403.0,2498384130.0,2817083478.0,2951822205.0,3059500000.0,3054500000.0,3106500000.0,3209500000.0,3444500000.0,3819500000.0,4217500000.0,4674000000.0,4785000000.0,4465500000.0,4530000000.0,4657500000.0,4610000000.0,4677000000.0,4696500000.0,4715000000.0,4830000000.0,4978000000.0,5086500000.0,5209000000.0
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,3520551724.0,3701667053.0,4183548189.0,4105706152.0,4087337960.0,4734020037.0,5115602837.0,5197332974.0,4051147228.0,4600000000.0,6001153306.0,5601090584.0,5843329108.0,6557333085.0,7872333215.0,9531402848.0,11470703002.0,12247694247.0,14393099069.0,10732366286.0,13707370737.0,18525319978.0,19047940300.0,18093829923.0,17098342541.0,12930394938.0,11400854268.0,12128104859.0,13567351175.0,13469422941.0
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,299787275.8,250045839.9,250794359.6,235239570.4,270801565.2,303053462.8,316420860.9,365964500.1,376955087.3,419035810.5,424464089.9,461444513.7,520849551.5,604041957.9,682523857.0,796938120.2,874989895.6,1168308517.0,1227808791.0,1234014292.0,1547991318.0,1777101317.0,1781281282.0,1756215665.0,1907090813.0,2003598213.0,2158972129.0,2450364928.0,2446674102.0,
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,3790567052.0,3942792837.0,4146513722.0,4160086253.0,4259330999.0,4730611067.0,4847752843.0,5020214747.0,4790458837.0,5484257417.0,5788329609.0,5489608300.0,5438857107.0,7511582173.0,8957467707.0,9931134941.0,10126940513.0,10939053365.0,10945070442.0,10267133178.0,12786654366.0,15351972230.0,14420393564.0,14901750765.0,16250750259.0,14420604206.0,15646316818.0,17405538618.0,18663264706.0,18340510789.0
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1440711396.0,1377375031.0,1411917558.0,1278781167.0,851174350.6,1115389732.0,1007791186.0,937741468.0,967338348.7,999477510.7,914500299.1,931833302.8,991387870.1,1139754799.0,1270080251.0,1337362392.0,1460561215.0,1697565949.0,1985240986.0,2059094048.0,2142591376.0,2437982840.0,2510126699.0,1691544192.0,1894813505.0,1695825708.0,1825018191.0,2072350151.0,2220978978.0,2220307369.0
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,593930000000.0,610328000000.0,592388000000.0,577171000000.0,578139000000.0,604032000000.0,628546000000.0,652824000000.0,631813000000.0,676084000000.0,742295000000.0,736380000000.0,757951000000.0,892382000000.0,1023200000000.0,1169360000000.0,1315420000000.0,1464980000000.0,1549130000000.0,1371150000000.0,1613460000000.0,1788650000000.0,1828690000000.0,1847210000000.0,1803530000000.0,1556130000000.0,1528240000000.0,1649880000000.0,1716260000000.0,1736430000000.0
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,262486000000.0,243337000000.0,259363000000.0,272828000000.0,309014000000.0,392506000000.0,415078000000.0,409198000000.0,447832000000.0,434057000000.0,427549000000.0,468028000000.0,527286000000.0,632943000000.0,761846000000.0,885219000000.0,1001500000000.0,1264970000000.0,1530610000000.0,1288350000000.0,1313210000000.0,1446910000000.0,1352800000000.0,1422760000000.0,1465700000000.0,1290070000000.0,1317560000000.0,1458700000000.0,1637170000000.0,1656930000000.0
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,258067000000.0,261114000000.0,271814000000.0,264353000000.0,292647000000.0,342617000000.0,330092000000.0,286519000000.0,295045000000.0,289912000000.0,272055000000.0,278631000000.0,301417000000.0,352915000000.0,394164000000.0,408689000000.0,430921000000.0,479913000000.0,554363000000.0,541507000000.0,583783000000.0,699580000000.0,668044000000.0,688504000000.0,709183000000.0,679832000000.0,671309000000.0,679950000000.0,705141000000.0,703082000000.0
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,5945677377.0,6262740657.0,6439703435.0,6232906290.0,6663669065.0,7332244898.0,8553643354.0,8827272727.0,9676172953.0,11514605842.0,,,,,,,,,,,,
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,33113887818.0,37834793730.0,45964327559.0,49297773130.0,57008425296.0,73447063319.0,78039572222.0,84952360922.0,81577430181.0,75173794497.0,77860932152.0,70979923960.0,69736811435.0,75643459840.0,99210392858.0,122965000000.0,154788000000.0,173606000000.0,179638000000.0,172389000000.0,218538000000.0,252252000000.0,267122000000.0,278384000000.0,260542000000.0,243919000000.0,250440000000.0,277045000000.0,298258000000.0,282318000000.0
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,360858000000.0,383373000000.0,426916000000.0,444731000000.0,564325000000.0,734548000000.0,863747000000.0,961604000000.0,1029040000000.0,1094000000000.0,1211350000000.0,1339400000000.0,1470550000000.0,1660290000000.0,1955350000000.0,2285970000000.0,2752130000000.0,3550340000000.0,4594310000000.0,5101700000000.0,6087160000000.0,7551500000000.0,8532230000000.0,9570410000000.0,10475700000000.0,11061600000000.0,11233300000000.0,12310400000000.0,13894800000000.0,14342900000000.0
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,10795850107.0,10492628915.0,11152971316.0,11045759469.0,8313557450.0,11000146839.0,12139234939.0,11722142706.0,12612033729.0,12376639823.0,10717022463.0,11192560827.0,12346919216.0,15306602560.0,16554441847.0,17084928927.0,17800887796.0,20343635320.0,24224903100.0,24277493862.0,24908781285.0,25414875503.0,26789047555.0,31273074528.0,35363533866.0,45814637971.0,47964234560.0,51588158718.0,57724731365.0,58792205642.0
