Country,level_3,RCA_Specialty
Romania,Natural Sciences,1.2536771912230604
Seychelles,Natural Sciences,7.700877624573488
Turkey,Natural Sciences,1.3034035585120012
Zimbabwe,Natural Sciences,1.353051395719454
Fiji,Natural Sciences,3.649850549098877
French-Polynesia,Natural Sciences,24.45399867896248
Kenya,Natural Sciences,1.2151055244204958
Libya,Natural Sciences,0.6407161225929033
Maldives,Natural Sciences,29.344798414754976
Republic of Serbia,Natural Sciences,0.4234051329562568
Sri Lanka,Natural Sciences,2.520068566152622
Sudan,Natural Sciences,0.3404268957628187
Tanzania,Natural Sciences,1.937864046257404
Croatia,Natural Sciences,0.6634419268556987
Egypt,Natural Sciences,0.3547802697428798
Finland,Natural Sciences,2.107020960835168
Kenya,Natural Sciences,3.453194625497364
Mauritius,Natural Sciences,5.415237026348138
Singapore,Natural Sciences,0.9542404371681192
Turkey,Natural Sciences,0.3207262262301149
Costa Rica,Natural Sciences,8.653615439419784
Hungary,Natural Sciences,1.7319134063763115
Lithuania,Natural Sciences,1.7451157954755077
Thailand,Natural Sciences,0.6870679236863931
Cyprus,Medical Sciences,1.5638278320772
Kazakhstan,Medical Sciences,1.065457167738074
Luxembourg,Medical Sciences,0.9903346503223198
Mozambique,Medical Sciences,3.5658179514701485
Sweden,Medical Sciences,0.2383607612427272
Afghanistan,Medical Sciences,0.5451779895592523
Algeria,Medical Sciences,0.2258035768014452
Austria,Medical Sciences,1.1191152930911543
Estonia,Medical Sciences,0.904902736046823
India,Medical Sciences,1.3089748801769878
Lebanon ,Medical Sciences,0.8816063094257386
Morocco,Medical Sciences,0.4103676427762248
Tunisia,Medical Sciences,1.0241116204395118
United States,Medical Sciences,1.265093673286123
Venezuela,Medical Sciences,0.797575206947795
Zambia,Medical Sciences,0.0954968097010663
Dominican Republic,Medical Sciences,1.3537178686647937
Central African Republic,Medical Sciences,28.56858467816732
Luxembourg,Medical Sciences,3.0705701502759366
Panama,Medical Sciences,2.963546128440593
Spain,Medical Sciences,0.5952284498326385
Turkey,Medical Sciences,0.2497079284505219
United States,Medical Sciences,1.5257497755262963
Egypt,Medical Sciences,0.903339667548462
Kazakhstan,Medical Sciences,0.5777303756161002
Singapore,Medical Sciences,1.322032858958287
Spain,Medical Sciences,0.7973786592339518
Taiwan,Medical Sciences,1.394946735348884
United Arab Emirates,Medical Sciences,1.3003001334526834
Uruguay,Medical Sciences,0.8181271329680149
Uzbekistan,Medical Sciences,0.4445641521354795
Kenya,Medical Sciences,0.3696763027713162
Netherlands,Medical Sciences,1.12687695953642
Norway,Medical Sciences,0.2972385171481652
Singapore,Medical Sciences,1.072624397914456
Belgium,Medical Sciences,0.8483641555415942
China,Medical Sciences,1.132512900405392
Croatia,Medical Sciences,0.8280648847003506
Germany,Medical Sciences,1.209272038062356
Indonesia,Medical Sciences,0.4379227755643973
Iraq,Medical Sciences,0.1561316340102511
Malta,Medical Sciences,0.9783705525446542
Nicaragua,Medical Sciences,1.1459202496165215
Poland,Medical Sciences,0.8355752541918937
Qatar,Medical Sciences,1.1773422273266578
Saudi Arabia,Medical Sciences,0.7383314123599317
Trinidad and Tobago,Medical Sciences,0.615297079843354
Iran,Medical Sciences,0.0813124182827651
South Korea,Medical Sciences,0.3737396447103438
Uruguay,Medical Sciences,2.6549758935122103
Argentina,Medical Sciences,0.9505456554113428
Bermuda,Medical Sciences,4.669241198327463
Burundi,Medical Sciences,1.7882200334020075
China,Medical Sciences,1.0894605348553426
Ecuador,Medical Sciences,0.9406012744564622
Federated States of Micronesia ,Medical Sciences,1.449074854653351
Guadeloupe,Medical Sciences,1.870894589740799
Mali,Medical Sciences,2.4608163072266365
Netherlands-Antilles,Medical Sciences,3.001655056067656
Portugal,Medical Sciences,0.765434055530463
