Year,Country,Country ID,ECI
1966,South Africa,afzaf,-0.246495
1966,Zambia,afzmb,-0.541125
1966,Zimbabwe,afzwe,0.732448
1966,China,aschn,0.475237
1966,Hong Kong,ashkg,1.29783
1966,Indonesia,asidn,-1.23754
1966,India,asind,0.027834
1966,Iran,asirn,-0.774142
1966,Israel,asisr,0.772181
1966,Jordan,asjor,0.378245
1966,Japan,asjpn,1.87131
1966,Cambodia,askhm,-0.928722
1966,South Korea,askor,0.829615
1966,Kuwait,askwt,-0.878879
1966,Lebanon,aslbn,0.201751
1966,Sri Lanka,aslka,-1.12994
1966,Burma,asmmr,-1.03755
1966,Malaysia,asmys,-0.702983
1966,Oman,asomn,-0.880721
1966,Pakistan,aspak,-0.302056
1966,Philippines,asphl,-0.598227
1966,Qatar,asqat,-0.410999
1966,Saudi Arabia,assau,-0.831977
1966,Singapore,assgp,0.176202
1966,Syria,assyr,-0.201459
1966,Thailand,astha,-0.974265
1966,Turkey,astur,-0.715804
1966,Vietnam,asvnm,-0.284037
1966,Albania,eualb,0.001056
1966,Austria,euaut,1.99344
1966,Belgium,eubel,1.58396
1966,Bulgaria,eubgr,0.741352
1966,Switzerland,euche,2.12901
1966,Germany,eudeu,2.26339
1966,Denmark,eudnk,1.31681
1966,Spain,euesp,0.603584
1966,Finland,eufin,1.4211
1966,France,eufra,1.73585
1966,United Kingdom,eugbr,1.98672
1966,Greece,eugrc,0.232929
1966,Hungary,euhun,1.23699
1966,Ireland,euirl,1.01241
1966,Italy,euita,1.74434
1966,Netherlands,eunld,1.33897
1966,Norway,eunor,1.4278
1966,Poland,eupol,1.08374
1966,Portugal,euprt,0.851548
1966,Romania,eurou,0.319795
1966,Sweden,euswe,2.02008
1966,Canada,nacan,0.769482
1966,Costa Rica,nacri,0.544684
1966,Dominican Republic,nadom,-0.666334
1966,Guatemala,nagtm,0.121919
1966,Honduras,nahnd,-0.29557
1966,Jamaica,najam,-0.386714
1966,Mexico,namex,0.220775
1966,Nicaragua,nanic,-0.196804
1966,Panama,napan,0.931072
1966,El Salvador,naslv,0.336836
1966,Trinidad and Tobago,natto,-0.279269
1966,United States,nausa,1.73973
1966,Australia,ocaus,0.245572
1966,New Zealand,ocnzl,0.291451
1966,Argentina,saarg,-0.186694
1966,Bolivia,sabol,-0.781309
1966,Brazil,sabra,-0.867307
1966,Chile,sachl,0.124412
1966,Colombia,sacol,0.116634
1966,Ecuador,saecu,-0.684339
1966,Peru,saper,-0.566836
1966,Paraguay,sapry,-0.706845
1966,Uruguay,saury,0.305691
1966,Venezuela,saven,-0.253681
1967,Angola,afago,-1.03878
1967,Cote d'Ivoire,afciv,-0.947142
1967,Cameroon,afcmr,-0.972631
1967,Republic of the Congo,afcog,-0.85448
1967,Algeria,afdza,-0.326832
1967,Egypt,afegy,-0.086774
1967,Ethiopia,afeth,-0.853689
1967,Gabon,afgab,-1.45307
1967,Ghana,afgha,-0.953906
1967,Guinea,afgin,-1.0714
1967,Kenya,afken,-0.785431
1967,Morocco,afmar,-0.34405
1967,Madagascar,afmdg,-1.04663
1967,Mozambique,afmoz,-0.960654
1967,Mauritania,afmrt,-1.15008
1967,Nigeria,afnga,-1.50863
1967,Sudan,afsdn,-1.36767
1967,Senegal,afsen,-0.45705
1967,Togo,aftgo,-0.982953
1967,Tunisia,aftun,-0.299681
1967,Tanzania,aftza,-1.29203
1967,South Africa,afzaf,-0.283275
1967,Zambia,afzmb,-0.743592
1967,Zimbabwe,afzwe,0.718401
1967,China,aschn,0.511791
1967,Hong Kong,ashkg,1.28684
1967,Indonesia,asidn,-1.12068
1967,India,asind,-0.103239
1967,Iran,asirn,-0.80783
1967,Israel,asisr,0.647967
1967,Jordan,asjor,0.421167
1967,Japan,asjpn,1.85351
1967,Cambodia,askhm,-0.950048
1967,South Korea,askor,0.773875
1967,Kuwait,askwt,-0.924902
1967,Lebanon,aslbn,0.517729
1967,Sri Lanka,aslka,-1.05778
1967,Burma,asmmr,-0.980183
1967,Malaysia,asmys,-0.500469
1967,Oman,asomn,-0.546423
1967,Pakistan,aspak,-0.196449
1967,Philippines,asphl,-0.590185
1967,Qatar,asqat,-1.56943
1967,Saudi Arabia,assau,-0.847359
1967,Singapore,assgp,0.23718
1967,Syria,assyr,-0.29768
1967,Thailand,astha,-1.02722
1967,Turkey,astur,-0.835135
1967,Vietnam,asvnm,-0.216628
1967,Albania,eualb,0.210635
1967,Austria,euaut,2.0393
1967,Belgium,eubel,1.58365
1967,Bulgaria,eubgr,0.585614
1967,Switzerland,euche,2.12217
1967,Germany,eudeu,2.28536
1967,Denmark,eudnk,1.31177
1967,Spain,euesp,0.643186
1967,Finland,eufin,1.32294
1967,France,eufra,1.7497
1967,United Kingdom,eugbr,2.03884
1967,Greece,eugrc,0.133309
1967,Hungary,euhun,1.20968
1967,Ireland,euirl,1.06419
1967,Italy,euita,1.86891
1967,Netherlands,eunld,1.33455
1967,Norway,eunor,1.41304
1967,Poland,eupol,0.995543
1967,Portugal,euprt,0.909755
1967,Romania,eurou,0.404673
